Station,fx,fy,fz,Latitude,Longitude,Zone,Postcode,Zone_original
Mansion House,532347,180962,0,51.5120916,-0.094197657,1,EC4N 6JD,1
Marble Arch,527875,181056,0,51.51396523465940,-0.158571215,1,W1C 2JS,1
Maryland,539175,184881,0,51.54566828299750,0.005681654,3,E15 1SA,3
Marylebone,527510,181985,0,51.52239640326540,-0.163492562,1,NW1 6JJ,1
Maze Hill,539194,177909,0,51.48301366443110,0.003204897,3,SE10 9XG,3
Meridian Water,535062,191741,0,51.60831170899130,-0.050959906,4,N18 3HF,4
Merton Park,525182,169798,0,51.41339128096900,-0.201342029,3,SW19 3HA,"3,4,5,6"
Mile End,536577,182545,0,51.525310919564500,-0.032666084,2,E3 4DH,2
Mill Hill Broadway,521300,191900,0,51.61287072,-0.249537065,4,NW7 2JU,4
Mill Hill East,524057,191460,0,51.60831630368600,-0.20989571,4,NW7 1BS,4
Mitcham,527345,168082,0,51.397488336519400,-0.170871645,3,CR4 4BD,"3,4,5,6"
Mitcham Eastfields,528488,169323,0,51.40838366,-0.154001717,3,CR4 2ND,3
Mitcham Junction,528292,167611,0,51.39304231241260,-0.157436642,4,CR4 4HN,4
Monument,532907,180814,0,51.51063027735100,-0.086188313,1,EC4R 9AA,1
Moor Park,508563,193509,0,51.62992995953360,-0.432913016,6,HA6 2JQ,"6,7"
Moorgate,532688,181677,0,51.51843699583110,-0.089017687,1,EC2M 6TX,1
Morden,525664,168563,0,51.40218564474950,-0.19485198,4,SM4 5AZ,4
Morden Road,525788,169310,0,51.408871575514800,-0.192805675,3,SW19 3BX,"3,4,5,6"
Morden South,525301,167900,0,51.39630737175910,-0.20030156,4,SM4 5AN,4
Mornington Crescent,529193,183359,0,51.53436199274680,-0.138744349,2,NW1 2JA,2
Mortlake,520458,175779,0,51.46816750082650,-0.26720331,3,SW14 8LN,3
Motspur Park,522581,167724,0,51.395319236610300,-0.239439743,4,KT3 6JJ,4
Mottingham,542600,173197,0,51.43982506175580,0.050324202,4,SE9 4EN,4
Mudchute,537908,178789,0,51.491236163479100,-0.014959945,2,E14 9UW,2
Neasden,521415,185422,0,51.554627310041200,-0.250115042,3,NW10 1PH,3
